feature,importance
internet_quality_Poor,0.001764930410976676
diet_quality_Poor,0.0023055845662504387
extracurricular_participation_Yes,0.002495016135693259
internet_quality_Good,0.0027572685354874966
part_time_job_Yes,0.002762644215705789
diet_quality_Good,0.0034802651771968164
attendance_percentage,0.023862384602743415
netflix_hours,0.03358222115742349
exercise_frequency,0.034697653601296986
sleep_hours,0.03783761542924904
social_media_hours,0.043147675270532024
mental_health_rating,0.10939971894939378
study_hours_per_day,0.7019070219480509
